I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2719	Tsu	1905	7	6	16	21	    	33	 7.0		 7.0						JAPAN		JAPAN:  OFF FUKUSHIMA	  37.400	  142.600	30													      57	2										
2722		1905	7	9	9	40	 24.0	33	 8.4	 8.4	 8.3						MONGOLIA		MONGOLIA	  49.000	   99.000	40																								
2726		1905	7	23	2	46	 12.0	33	 8.4	 8.4	 8.7						MONGOLIA		MONGOLIA	  49.000	   98.000	40																								
2729		1905	9	1	2	45	    	230	 7.5						 7.5		JAPAN		JAPAN:  HOKKAIDO	  45.000	  143.000	30																								
2732	Tsu	1905	9	8	1	43			 7.9		 7.9					10	ITALY		ITALY:  MONTELEONE,TROPEA,NONTE PORO	  39.000	   16.000	130	     557	3						3																
2735		1905	9	15	6	2	    	60	 7.8						 7.8		RUSSIA		RUSSIA:  KOMANDORSKY ISLAND	  53.000	  164.000	50																								
2737	Tsu	1905	10	21	11	1	 37.0	60	 7.5		 7.5						GEORGIA		GEORGIA:  CAUCASUS	  42.000	   42.000	40																								
2739		1905	11	8	21	41		30	 7.8		 7.8					10	GREECE		GREECE:  AEGEAN SEA	  40.250	   24.200	130																								
2744		1906	1	21	13	49	 35.0	340	 8.4		 8.4						JAPAN		JAPAN:  NEAR S COAST HONSHU	  34.000	  138.000	30																								
2748	Tsu	1906	1	31	15	35	 51.0	25	 8.6	 8.6	 8.6	 8.2				9	ECUADOR		ECUADOR:  OFF COAST	   1.000	  -81.500	160	    1000	3						2		3			    1000	3						3		3		
2753		1906	2	3					 7.7		 7.7					10	COLOMBIA		COLOMBIA	   3.500	  -76.200	160																								
2764		1906	4	10	21	22	    	60	 7.5						 7.5		MEXICO		MEXICO:  REVILLA GIGEDO ISLANDS	  19.000	 -113.800	150																								
2768	Tsu	1906	4	18	13	12	 21.0	20	 7.9	 7.9	 7.8				 8.3	11	USA	CA	CALIFORNIA:  SAN FRANCISCO	  37.670	 -122.480	150	     700	3					     400.000	4	28188	4														
2772		1906	7	11					 7.7		 7.7					9	COLOMBIA		COLOMBIA	   4.600	  -74.000	160																								
2773		1906	7	14	10	27	    		 7.7		 7.7					9	COLOMBIA		COLOMBIA	   4.600	  -74.000	160																								
2777		1906	8	17	0	10	 42.0	25	 7.8		 7.8				 8.3		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS	  51.050	  179.690	150																								
2779	Tsu	1906	8	17	0	40		25	 8.2	 8.2	 8.4					11	CHILE		CHILE:  SOUTH CENTRAL	 -33.000	  -72.000	160	    4000	4					     100.000	4					    4000	4					     100.000	4				
2782	Tsu	1906	9	14	16	4	 18.0	33	 8.0	 8.0	 7.5	 7.8					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW BRITAIN	  -7.000	  149.000	170		2						3		3				2						3		3		
2784		1906	9	28	15	24	 54.0	150	 7.9		 7.9					7	ECUADOR		ECUADOR	  -2.000	  -79.000	160								1												1				
2787	Tsu	1906	10	2	1	50			 7.2	 7.2	 7.2						PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMARCK SEA	  -4.000	  149.000	170								1												1				
2788		1906	11	19	7	18	    		 7.8						 7.8		AUSTRALIA		AUSTRALIA:  WEST COAST	 -22.000	  109.000	170																								
